endpoint,n_val_rows,shared_sentence,clf_recall,retr_recall,delta_retr_minus_clf,example
/agent5/battery2/charge,4026,True,1.0,0.0,-1.0,i need to read battery service in garage
/agent11/battery4/charge,4782,True,1.0,0.0002,-0.9998,i need to read battery service in watter room
/agent12/battery6/charge,4037,True,1.0,0.7466,-0.2534,i need to read battery service in entrance
/agent11/heatingcontrol2,25,True,1.0,0.84,-0.16,i need to write thermostat in watter room
/agent21/movement21/movement,990,True,1.0,0.9889,-0.0111,i need to read movement sensor in room_2
/agent23/movement23/movement,981,True,1.0,0.9898,-0.0102,i need to read movement sensor in room_4
/agent13/movement13/movement,1017,True,1.0,0.9921,-0.0079,i need to read movement sensor in bed room
/agent26/movement26/movement,1050,True,1.0,0.9924,-0.0076,i need to read movement sensor in room_7
/agent25/movement25/movement,1060,True,1.0,0.9934,-0.0066,i need to read movement sensor in room_6
/agent28/movement28/movement,1055,True,1.0,0.9943,-0.0057,i need to read movement sensor in room_9
/agent11/movement11/movement,1045,True,1.0,0.9981,-0.0019,i need to read movement sensor in watter room
/agent5/battery1/charge,4224,True,0.0,0.0,0.0,i need to write battery service in garage
/agent6/tempin6,2111,False,1.0,1.0,0.0,i need to read sensor service in bath room
/agent12/movement12/movement,1775,True,1.0,1.0,0.0,i need to read movement sensor in entrance
/agent12/battery5/charging,1720,True,0.0,0.0,0.0,i need to read battery service in entrance
/agent1/tempin1,1672,True,0.9791,0.9791,0.0,i need to write sensor service in bed room children
/agent12/battery6/charging,1658,True,0.0,0.0,0.0,i need to read battery service in entrance
/agent22/tempin22,1654,False,1.0,1.0,0.0,i need to read sensor service in room_3
/agent21/tempin21,1627,False,1.0,1.0,0.0,i need to write sensor service in room_2
/agent25/tempin25,1624,False,1.0,1.0,0.0,i need to read sensor service in room_6
/agent28/tempin28,1617,False,1.0,1.0,0.0,i need to read sensor service in room_9
/agent14/tempin14,1610,False,1.0,1.0,0.0,i need to write sensor service in shower room
/agent2/tempin2,1610,True,1.0,1.0,0.0,i need to write sensor service in bed room parents
/agent24/tempin24,1608,False,1.0,1.0,0.0,i need to write sensor service in room_5
/agent29/tempin29,1598,False,1.0,1.0,0.0,i need to read sensor service in room_10
/agent3/tempin3,1597,False,1.0,1.0,0.0,i need to write sensor service in dinning room
/agent1/movement1/movement,1596,True,1.0,1.0,0.0,i need to read movement sensor in bed room children
/agent27/tempin27,1593,False,1.0,1.0,0.0,i need to read sensor service in room_8
/agent10/tempin10,1578,False,1.0,1.0,0.0,i need to read sensor service in living room
/agent13/tempin13,1572,False,1.0,1.0,0.0,i need to read sensor service in bed room
/agent23/tempin23,1564,False,1.0,1.0,0.0,i need to read sensor service in room_4
/agent26/tempin26,1546,False,1.0,1.0,0.0,i need to write sensor service in room_7
/agent5/tempin5,1546,False,1.0,1.0,0.0,i need to write sensor service in garage
/agent10/movement10/movement,1098,True,1.0,1.0,0.0,i need to read movement sensor in living room
/agent29/movement29/movement,1095,True,1.0,1.0,0.0,i need to read movement sensor in room_10
/agent14/movement14/movement,1088,True,1.0,1.0,0.0,i need to read movement sensor in shower room
/agent3/movement3/movement,1083,True,1.0,1.0,0.0,i need to read movement sensor in dinning room
/agent24/movement24/movement,1069,True,1.0,1.0,0.0,i need to read movement sensor in room_5
/agent27/movement27/movement,1060,True,1.0,1.0,0.0,i need to read movement sensor in room_8
