retriever,format,hit@1,hit@3,hit@5,hit@10,mrr,recall@5,na_auroc,na_auprc,na_f1,load_s,index_s,p50_ms,p95_ms
exact,sentence,0.164,0.197,0.197,0.508,0.231,0.355,0.659,0.232,0.91,,,0.06,0.07
tfidf,sentence,0.344,0.672,0.787,0.852,0.523,0.667,0.702,0.324,0.916,,,0.33,0.42
bm25,sentence,0.246,0.344,0.41,0.574,0.342,0.498,0.738,0.287,0.91,,,0.19,0.54
bi:all-MiniLM-L6-v2,sentence,0.705,0.918,0.918,1.0,0.811,0.841,0.842,0.46,0.917,2.69,0.204,3.52,4.39
bi:all-MiniLM-L12-v2,sentence,0.574,0.902,0.951,1.0,0.738,0.879,0.865,0.565,0.924,2.71,0.291,6.32,7.43
bi:multi-qa-MiniLM-L6-cos-v1,sentence,0.59,0.869,0.885,0.984,0.737,0.814,0.857,0.548,0.924,2.88,0.159,3.62,4.55
bi:all-mpnet-base-v2,sentence,0.557,0.82,0.836,0.967,0.697,0.766,0.881,0.514,0.922,2.54,0.886,11.13,14.25
bi:multi-qa-mpnet-base-dot-v1,sentence,0.607,0.803,0.836,0.918,0.719,0.758,0.949,0.72,0.95,2.69,0.789,11.28,12.77
bi:all-MiniLM-L6-v2+ms-marco-TinyBERT-L-2-v2,sentence,0.689,0.918,0.967,1.0,0.795,0.886,0.802,0.451,0.924,2.53,0.157,10.33,11.78
bi:all-MiniLM-L6-v2+ms-marco-MiniLM-L-6-v2,sentence,0.574,0.918,0.951,0.984,0.751,0.855,0.843,0.552,0.93,2.49,0.163,40.2,53.13
bi:all-MiniLM-L6-v2+ms-marco-MiniLM-L-12-v2,sentence,0.623,0.918,0.951,0.984,0.775,0.866,0.847,0.566,0.924,2.79,0.168,112.47,135.79
bi:all-MiniLM-L12-v2+ms-marco-TinyBERT-L-2-v2,sentence,0.721,0.918,0.967,1.0,0.814,0.889,0.801,0.45,0.924,2.56,0.293,14.55,16.36
bi:all-MiniLM-L12-v2+ms-marco-MiniLM-L-6-v2,sentence,0.607,0.918,0.951,0.984,0.77,0.852,0.844,0.552,0.93,2.78,0.299,52.01,58.41
bi:all-MiniLM-L12-v2+ms-marco-MiniLM-L-12-v2,sentence,0.656,0.918,0.951,1.0,0.793,0.869,0.846,0.565,0.924,2.62,0.311,89.59,101.08
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-TinyBERT-L-2-v2,sentence,0.689,0.934,0.951,1.0,0.793,0.87,0.798,0.448,0.924,2.66,0.165,10.24,11.46
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-MiniLM-L-6-v2,sentence,0.574,0.918,0.951,0.984,0.75,0.855,0.843,0.552,0.93,2.56,0.161,47.17,54.84
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-MiniLM-L-12-v2,sentence,0.623,0.918,0.951,1.0,0.773,0.865,0.846,0.565,0.924,2.58,0.164,83.89,94.42
bi:all-mpnet-base-v2+ms-marco-TinyBERT-L-2-v2,sentence,0.721,0.984,0.984,0.984,0.823,0.894,0.81,0.462,0.924,2.57,0.836,19.64,21.68
bi:all-mpnet-base-v2+ms-marco-MiniLM-L-6-v2,sentence,0.607,0.934,0.951,1.0,0.775,0.857,0.863,0.577,0.93,2.54,0.818,55.71,62.6
bi:all-mpnet-base-v2+ms-marco-MiniLM-L-12-v2,sentence,0.656,0.951,0.967,1.0,0.801,0.876,0.862,0.587,0.929,2.53,0.794,92.69,105.51
bi:multi-qa-mpnet-base-dot-v1+ms-marco-TinyBERT-L-2-v2,sentence,0.689,0.902,0.951,0.984,0.786,0.873,0.806,0.46,0.924,2.55,0.871,19.37,21.33
bi:multi-qa-mpnet-base-dot-v1+ms-marco-MiniLM-L-6-v2,sentence,0.574,0.934,0.951,0.967,0.753,0.86,0.843,0.558,0.93,2.58,0.833,55.25,62.16
bi:multi-qa-mpnet-base-dot-v1+ms-marco-MiniLM-L-12-v2,sentence,0.623,0.934,0.967,0.984,0.777,0.875,0.846,0.565,0.924,2.6,0.874,91.84,103.22
