tau,strategy,entry,hit@1,hit@3,hit@5,mrr,avg_nodes_visited,avg_hops
0.3,first_served,gateway,0.393,0.475,0.475,0.429,1.61,1.07
0.3,first_served,local,0.77,0.951,0.951,0.85,1.26,0.05
0.3,local_first,gateway,0.393,0.475,0.475,0.429,1.61,1.1
0.3,local_first,local,0.77,0.951,0.967,0.853,1.26,0.11
0.4,first_served,gateway,0.541,0.656,0.656,0.593,2.97,1.25
0.4,first_served,local,0.77,0.951,0.951,0.85,2.33,0.1
0.4,local_first,gateway,0.541,0.656,0.656,0.593,2.97,1.39
0.4,local_first,local,0.77,0.951,0.951,0.85,2.33,0.54
0.5,first_served,gateway,0.574,0.705,0.705,0.634,4.03,1.31
0.5,first_served,local,0.77,0.918,0.918,0.839,3.3,0.21
0.5,local_first,gateway,0.574,0.705,0.705,0.634,4.03,1.64
0.5,local_first,local,0.77,0.918,0.918,0.839,3.3,0.92
0.6,first_served,gateway,0.672,0.787,0.787,0.727,4.66,1.36
0.6,first_served,local,0.787,0.918,0.918,0.85,4.38,0.26
0.6,local_first,gateway,0.672,0.787,0.787,0.727,4.66,1.74
0.6,local_first,local,0.787,0.918,0.918,0.85,4.38,1.36
0.7,first_served,gateway,0.672,0.787,0.787,0.727,5.02,1.36
0.7,first_served,local,0.787,0.918,0.918,0.85,4.93,0.26
0.7,local_first,gateway,0.672,0.787,0.787,0.727,5.02,1.8
0.7,local_first,local,0.787,0.918,0.918,0.85,4.93,1.57
